name,price,category,addedQuantity
WirelessMouse,19.99,Electronics,50
GamingChair,129.50,Furniture,20
DeskLampLED,24.75,Home Decor,35
BluetoothEar,49.99,Electronics,100
WaterBottleX,12.95,Accessories,200
OfficeDeskXL,299.00,Furniture,10
LEDMonitor15,159.49,Electronics,30
TravelMugPro,18.89,Kitchen,150
FitnessBandX,39.95,Wearables,75
CottonShirtL,25.00,Apparel,90
NoiseCancelX,89.90,Electronics,45
YogaMatBlue,20.00,Fitness,60
SmartWatchSE,199.99,Wearables,25
RunningShoes,59.99,Footwear,40
StandingDeskZ,399.95,Furniture,15
LaptopStandX,49.50,Accessories,80
USBHubPro,22.00,Electronics,120
EcoNotebook,9.95,Stationery,200
LEDStripRGB,14.75,Home Decor,100
BackpackPlus,69.99,Bags,55
